Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.19,266.2,28.984104
2,S2,0.06,275.4,30.0
3,N2,0.05,249.3,28.43973
4,K1,0.43,35.2,15.041069
5,M4,0.01,111.1,57.96821
6,O1,0.44,27.4,13.943035
7,M6,0.0,157.0,86.95232
8,MK3,0.0,0.0,44.025173
9,S4,0.0,0.0,60.0
10,MN4,0.0,0.0,57.423832
11,NU2,0.01,293.9,28.512583
12,S6,0.0,0.0,90.0
13,MU2,0.01,187.4,27.968208
14,2N2,0.01,203.3,27.895355
15,OO1,0.02,48.4,16.139101
16,LAM2,0.0,301.9,29.455626
17,S1,0.01,26.2,15.0
18,M1,0.02,0.7,14.496694
19,J1,0.02,43.6,15.5854435
20,MM,0.0,0.0,0.5443747
21,SSA,0.2,19.6,0.0821373
22,SA,0.15,276.0,0.0410686
23,MSF,0.0,0.0,1.0158958
24,MF,0.0,0.0,1.0980331
25,RHO,0.02,359.4,13.471515
26,Q1,0.1,12.8,13.398661
27,T2,0.01,291.8,29.958933
28,R2,0.0,262.2,30.041067
29,2Q1,0.0,346.5,12.854286
30,P1,0.13,37.1,14.958931
31,2SM2,0.0,0.0,31.015896
32,M3,0.0,0.0,43.47616
33,L2,0.0,314.1,29.528479
34,2MK3,0.0,0.0,42.92714
35,K2,0.02,313.0,30.082138
36,M8,0.0,311.9,115.93642
37,MS4,0.0,0.0,58.984104
