Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.709,62.5,28.984104
2,S2,0.148,135.3,30
3,N2,0.187,3.4,28.43973
4,K1,0.171,1.7,15.041069
5,M4,0.026,20.8,57.96821
6,O1,0.016,33.2,13.943035
7,M6,0.02,224.1,86.95232
8,MK3,0,0,44.025173
9,S4,0.003,194.6,60
10,MN4,0,0,57.423832
11,NU2,0.036,11.4,28.512583
12,S6,0.003,312.6,90
13,MU2,0.016,349.6,27.968208
14,2N2,0.023,304,27.895355
15,OO1,0.003,47.3,16.139101
16,LAM2,0.007,96.4,29.455626
17,S1,0,0,15
18,M1,0.003,356.8,14.496694
19,J1,0.003,16.2,15.5854435
20,MM,0,0,0.5443747
21,SSA,0,0,0.0821373
22,SA,0,0,0.0410686
23,MSF,0,0,1.0158958
24,MF,0,0,1.0980331
25,RHO,0,106.3,13.471515
26,Q1,0.01,93.7,13.398661
27,T2,0.01,132.6,29.958933
28,R2,0,0,30.041067
29,2Q1,0.003,58,12.854286
30,P1,0.056,359.2,14.958931
31,2SM2,0,0,31.015896
32,M3,0,0,43.47616
33,L2,0.02,121.6,29.528479
34,2MK3,0,0,42.92714
35,K2,0.039,141.2,30.082138
36,M8,0.003,164.2,115.93642
37,MS4,0,0,58.984104
